year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Yes,Yes,Sofala,Machanga,0.8385365382597278,0.5700943301217056,0.4299056698782945,0,5484.519232124451,area_weighted_exact,NA,NA,NA,83.85365382597278,57.00943301217056,42.990566987829446,0
2007,Uncertain,Yes,Sofala,Marínguè,0.7615182552663199,0.5010572938891934,0.4985602513778316,3.8245473297305124e-4,6149.887042372368,area_weighted_exact,NA,NA,NA,76.151825526632,50.10572938891934,49.85602513778316,0.03824547329730513
2007,Yes,Yes,Sofala,Marromeu,0.9340511735891601,0.9754262587674785,0.024573741232521696,0,5665.862664551121,area_weighted_exact,NA,NA,NA,93.40511735891602,97.54262587674785,2.4573741232521695,0
2007,Yes,Yes,Sofala,Muanza,0.8947858606820003,0.9563932750325593,0.04360672496744046,0,7341.9242688972045,area_weighted_exact,NA,NA,NA,89.47858606820003,95.63932750325593,4.360672496744046,0
2007,Yes,Yes,Sofala,Nhamatanda,0.9603123225864155,0.9718349313138391,0.028165068686160952,0,4015.780822235519,area_weighted_exact,NA,NA,NA,96.03123225864155,97.18349313138391,2.8165068686160954,0
2007,Uncertain,Uncertain,Tete,Angónia,0.5149476680590489,0.3446529967040393,0.3582498946107595,0.2970971086852002,3104.377841403821,area_weighted_exact,NA,NA,NA,51.49476680590489,34.46529967040393,35.82498946107595,29.709710868520016
2007,Uncertain,Uncertain,Tete,Cahora-Bassa,0.5623613071756044,0,0.9120617588519172,0.0879382411480845,8542.95398936535,area_weighted_exact,NA,NA,NA,56.23613071756044,0,91.20617588519173,8.79382411480845
2007,Uncertain,Uncertain,Tete,Changara,0.3580329661518568,0.022214645708286636,0.6270365334321425,0.35074882085957065,6062.136641791855,area_weighted_exact,NA,NA,NA,35.80329661518568,2.2214645708286636,62.70365334321425,35.074882085957064
2007,Uncertain,Uncertain,Tete,Marara,0.4530804880419897,0.07017253915712343,0.7640632726381404,0.16576418820473665,2710.1228023951007,area_weighted_exact,NA,NA,NA,45.30804880419897,7.0172539157123435,76.40632726381405,16.576418820473666
2007,Uncertain,Uncertain,Tete,Chifunde,0.6610195703306271,0.19962201780442532,0.7810359749680541,0.019342007227520414,9246.941398174327,area_weighted_exact,NA,NA,NA,66.1019570330627,19.96220178044253,78.1035974968054,1.9342007227520415
